id,hoehe,geobreite,geolaenge,stationsname,bundesland
03376, 63,52.5176,14.1232,Müncheberg                          ,Brandenburg           
03379,515,48.1632,11.5429,München-Stadt                       ,Bayern                
03382,521,48.1441,11.6000,München-Bogenhausen                 ,Bayern                
03385,515,48.1660,11.5011,München-Nymphenburg                 ,Bayern                
03390,529,48.1369,11.7094,München-Riem                        ,Bayern                
03402,755,48.3851, 9.4837,Münsingen-Apfelstetten              ,Baden-Württemberg     
03404, 62,51.9494, 7.5906,Münster                             ,Nordrhein-Westfalen   
03426,127,51.5660,14.7008,"Muskau, Bad                         ",Sachsen               
03442,149,50.3574, 8.7506,"Nauheim, Bad                        ",Hessen                
03478, 81,53.5468,13.1914,Neubrandenburg                      ,Mecklenburg-Vorpommern
03484,380,48.7085,11.2147,Neuburg an der Donau                ,Bayern                
03485,486,48.3115,10.3773,Neuburg/Kammel-Langenhaslach        ,Bayern                
03490,111,50.5346, 7.0853,"Neuenahr, Bad-Ahrweiler             ",Rheinland-Pfalz       
03509, 78,53.1020,13.0421,Stechlin-Menz                       ,Brandenburg           
03513,845,50.5003,11.1345,Neuhaus am Rennweg                  ,Thüringen             
03527,500,50.8923, 9.4050,Neukirchen-Hauptschwenda            ,Hessen                
03540,195,50.8446, 7.3720,Neunkirchen-Seelscheid-Krawinkel    ,Nordrhein-Westfalen   
03545,236,49.3440, 7.2297,Neunkirchen-Wellesweiler            ,Saarland              
03552, 38,52.9037,12.8071,Neuruppin                           ,Brandenburg           
03571,452,49.8174,11.8638,Neustadt am Kulm-Filchendorf        ,Bayern                
03575,163,49.3570, 8.1405,Neustadt/Weinstraße                 ,Rheinland-Pfalz       
